id,carat,cut,color,clarity,depth,table,x,y,z
7786,0.5,Very Good,E,VS2,61.4,59.0,5.09,5.13,3.14
7787,0.32,Ideal,G,VS1,61.7,55.0,4.41,4.37,2.71
7788,1.61,Premium,H,SI2,60.3,60.0,7.66,7.57,4.59
7789,0.51,Very Good,G,SI1,62.7,59.0,5.07,5.13,3.2
7790,0.23,Very Good,E,VVS1,62.9,59.0,3.9,3.95,2.47
7791,0.32,Premium,F,VS2,62.1,59.0,4.41,4.35,2.72
7792,0.55,Ideal,H,VS1,62.3,56.0,5.22,5.27,3.27
7793,0.32,Very Good,G,VS1,60.8,56.0,4.45,4.48,2.71
7794,0.33,Very Good,E,SI2,60.0,59.0,4.47,4.49,2.69
7795,0.86,Ideal,E,SI1,62.3,54.0,6.13,6.07,3.8
7796,0.5,Ideal,H,SI1,62.4,56.0,5.07,5.09,3.17
7797,0.82,Ideal,E,SI1,61.9,56.0,6.0,6.02,3.72
7798,0.44,Ideal,D,VS1,61.3,56.0,4.87,4.92,3.0
7799,0.24,Very Good,F,VS1,62.5,58.0,3.95,3.96,2.47
7800,0.74,Ideal,E,VS2,61.9,57.0,5.81,5.78,3.59
7801,0.36,Premium,E,IF,59.4,61.0,4.69,4.61,2.76
7802,0.71,Ideal,H,VVS1,62.1,57.0,5.67,5.7,3.53
7803,0.7,Fair,G,SI1,68.4,58.0,5.59,5.55,3.61
7804,1.83,Premium,I,VS1,61.9,57.0,7.91,7.85,4.88
7805,1.52,Very Good,F,VS1,63.4,60.0,7.3,7.25,4.61
7806,0.78,Very Good,F,VS1,61.7,55.0,5.89,5.94,3.65
7807,1.23,Ideal,H,VVS2,61.6,57.0,6.87,6.92,4.25
7808,0.3,Premium,H,VS2,62.3,58.0,4.31,4.33,2.69
7809,0.37,Premium,I,VS2,61.1,59.0,4.65,4.58,2.82
7810,0.9,Very Good,G,VS2,58.8,61.0,6.28,6.3,3.7
7811,1.01,Ideal,I,SI2,62.4,57.0,6.37,6.41,3.99
7812,0.34,Premium,I,VS1,61.0,60.0,4.51,4.48,2.74
7813,1.63,Ideal,F,I1,62.0,55.1,7.5,7.57,4.68
7814,1.5,Ideal,H,VVS2,61.3,56.0,7.37,7.28,4.49
7815,0.52,Ideal,F,VVS2,60.6,56.0,5.22,5.24,3.17
7816,0.23,Good,F,VVS2,62.8,61.0,3.92,3.95,2.47
7817,0.31,Ideal,H,VVS1,61.5,54.0,4.39,4.36,2.69
7818,0.41,Ideal,F,VS2,61.4,55.0,4.78,4.83,2.95
7819,1.01,Premium,F,VS2,59.2,60.0,6.54,6.51,3.86
7820,0.71,Premium,J,VS2,60.1,61.0,5.82,5.77,3.48
7821,0.33,Premium,G,VS2,61.1,59.0,4.47,4.43,2.72
7822,1.14,Very Good,E,SI2,62.6,56.0,6.63,6.69,4.17
7823,0.52,Good,E,VS2,64.3,56.0,5.02,5.14,3.27
7824,1.18,Premium,H,SI1,61.8,58.0,6.74,6.79,4.18
7825,2.02,Very Good,H,SI2,63.1,54.0,8.09,7.99,5.07
7826,1.2,Very Good,H,I1,58.6,57.0,6.96,7.01,4.09
7827,0.52,Premium,G,SI1,58.6,62.0,5.28,5.24,3.08
7828,1.0,Fair,G,VVS2,66.9,55.0,6.2,6.17,4.14
7829,0.9,Premium,I,VS1,62.9,60.0,6.09,6.05,3.82
7830,0.35,Premium,E,VS1,62.2,58.0,4.5,4.47,2.79
7831,1.11,Ideal,H,SI1,60.2,54.0,6.82,6.7,4.07
7832,0.34,Premium,G,VS2,61.8,58.0,4.47,4.5,2.77
7833,1.52,Fair,H,SI1,64.6,55.0,7.24,7.19,4.66
7834,1.34,Ideal,H,SI2,61.6,56.0,7.1,7.05,4.36
7835,0.54,Premium,H,VS2,61.6,58.0,5.24,5.22,3.22
7836,0.42,Premium,E,VS1,62.3,57.0,4.83,4.8,3.0
7837,0.32,Premium,H,VVS2,60.2,60.0,4.48,4.45,2.69
7838,0.59,Premium,D,VVS2,62.6,58.0,5.4,5.34,3.36
7839,1.26,Premium,I,SI1,60.9,58.0,6.99,6.94,4.24
7840,0.3,Ideal,F,VS2,61.3,55.0,4.3,4.32,2.64
7841,0.7,Very Good,I,SI2,62.5,58.0,5.64,5.72,3.55
7842,1.08,Ideal,I,SI1,61.4,57.0,6.67,6.62,4.08
7843,1.31,Premium,J,SI1,59.6,59.0,7.16,7.13,4.26
7844,0.71,Very Good,H,VVS1,62.9,57.0,5.67,5.69,3.57
7845,0.52,Ideal,E,SI1,62.3,56.0,5.12,5.16,3.2
7846,0.3,Premium,G,VS2,61.1,62.0,4.33,4.28,2.63
7847,0.3,Ideal,G,VVS1,62.2,56.0,4.27,4.31,2.67
7848,1.51,Ideal,G,VS2,62.2,59.0,7.28,7.34,4.55
7849,0.5,Premium,F,VS2,62.7,59.0,5.05,5.09,3.18
7850,0.77,Good,H,SI1,63.0,65.0,5.82,5.74,3.64
7851,0.4,Premium,G,VVS1,61.5,58.0,4.74,4.69,2.9
7852,2.01,Ideal,G,SI1,62.1,57.0,8.07,8.09,5.02
7853,0.51,Premium,E,VS2,61.9,59.0,5.11,5.06,3.15
7854,1.26,Ideal,D,SI2,61.6,56.0,6.99,6.95,4.3
7855,2.16,Premium,H,SI2,59.7,60.0,8.38,8.3,4.98
7856,0.3,Premium,D,VS2,60.6,59.0,4.28,4.36,2.62
7857,0.31,Very Good,I,VVS1,63.6,55.0,4.27,4.32,2.73
7858,1.18,Premium,G,SI2,60.5,60.0,6.88,6.81,4.14
7859,0.52,Ideal,H,SI2,61.5,56.0,5.17,5.21,3.19
7860,0.37,Ideal,G,IF,62.1,54.0,4.6,4.64,2.87
7861,0.56,Ideal,F,VS2,61.8,55.0,5.3,5.34,3.29
7862,1.0,Premium,H,SI2,61.0,60.0,6.42,6.36,3.9
7863,0.38,Ideal,G,SI1,62.1,54.0,4.67,4.64,2.9
7864,1.51,Good,I,VS1,65.8,57.0,7.09,7.17,4.69
7865,1.23,Ideal,E,SI2,62.1,55.0,6.91,6.84,4.27
7866,0.45,Good,E,VS1,61.7,63.0,4.88,4.91,3.02
7867,1.62,Premium,J,SI1,62.0,60.0,7.52,7.44,4.64
7868,1.01,Premium,E,SI1,61.0,59.0,6.47,6.44,3.94
7869,1.01,Premium,J,I1,60.7,59.0,6.39,6.42,3.89
7870,1.01,Ideal,E,VS1,62.7,55.0,6.4,6.45,4.03
7871,0.36,Premium,F,SI1,61.6,60.0,4.61,4.54,2.82
7872,1.21,Ideal,I,VS1,61.5,58.0,6.84,6.88,4.22
7873,0.28,Ideal,I,VS1,61.8,55.0,4.2,4.25,2.61
7874,0.59,Ideal,G,VS1,61.1,58.0,5.39,5.41,3.3
7875,0.24,Premium,H,VVS1,60.8,59.0,4.0,4.02,2.44
7876,0.5,Very Good,E,SI1,60.7,61.0,5.09,5.12,3.1
7877,0.31,Ideal,D,SI1,62.3,55.0,4.33,4.37,2.71
7878,1.7,Ideal,G,VS2,61.3,57.0,7.6,7.67,4.68
7879,0.7,Premium,E,SI1,60.0,62.0,5.79,5.75,3.46
7880,1.31,Ideal,G,VVS1,61.1,57.0,7.06,7.01,4.3
7881,0.51,Ideal,E,VS2,61.5,58.0,5.12,5.15,3.16
7882,0.7,Premium,E,SI2,60.6,58.0,5.78,5.73,3.49
7883,0.4,Good,F,VVS1,63.3,57.0,4.68,4.7,2.97
7884,0.52,Ideal,D,VS2,60.3,56.0,5.24,5.27,3.17
7885,0.31,Ideal,I,VS2,62.1,54.0,4.35,4.38,2.71
7886,2.01,Premium,H,SI2,61.6,58.0,8.12,8.02,4.97
7887,0.56,Very Good,G,VS2,60.9,58.0,5.34,5.36,3.26
7888,0.71,Very Good,D,SI1,63.3,59.0,5.55,5.66,3.55
7889,0.32,Premium,G,VS2,61.0,59.0,4.42,4.46,2.71
7890,1.3,Ideal,G,SI2,61.9,57.0,7.01,6.95,4.32
7891,0.71,Very Good,J,VS1,63.3,55.0,5.66,5.62,3.57
7892,1.72,Premium,H,SI1,62.0,57.0,7.67,7.63,4.74
7893,1.02,Very Good,F,VVS2,61.0,54.0,6.53,6.58,4.0
7894,1.04,Very Good,F,IF,63.0,55.0,6.36,6.53,4.06
7895,0.52,Very Good,G,VS1,61.2,57.0,5.17,5.23,3.18
7896,0.78,Ideal,G,VS1,61.6,55.0,5.91,5.94,3.65
7897,0.36,Premium,G,IF,62.5,60.0,4.49,4.53,2.82
7898,1.21,Ideal,H,SI2,62.1,58.0,6.78,6.84,4.23
7899,0.3,Premium,G,VS1,62.2,59.0,4.31,4.28,2.67
7900,1.12,Premium,E,SI2,62.4,58.0,6.59,6.64,4.13
7901,1.5,Ideal,H,SI2,62.4,58.0,7.29,7.26,4.54
7902,0.41,Good,E,SI1,63.9,58.0,4.72,4.7,3.01
7903,0.32,Premium,G,IF,61.0,59.0,4.38,4.41,2.68
7904,1.5,Good,I,SI1,63.8,56.0,7.26,7.15,4.59
7905,1.79,Premium,I,VS1,62.6,59.0,7.72,7.65,4.81
7906,0.41,Premium,E,VS1,62.3,59.0,4.76,4.74,2.96
7907,0.36,Ideal,J,SI1,61.6,56.0,4.61,4.58,2.83
7908,0.34,Ideal,D,VS2,60.8,57.0,4.52,4.5,2.74
7909,0.8,Very Good,E,SI2,62.6,59.0,5.84,5.91,3.68
7910,0.31,Premium,H,VVS1,61.8,58.0,4.3,4.34,2.67
7911,0.81,Ideal,E,VS2,62.0,55.0,5.99,5.97,3.71
7912,0.31,Ideal,G,VVS1,60.7,57.0,4.37,4.4,2.66
7913,0.41,Ideal,F,VVS1,62.3,57.0,4.73,4.77,2.96
7914,0.7,Very Good,G,I1,63.1,56.0,5.6,5.51,3.51
7915,1.62,Ideal,E,VS2,61.4,57.0,7.54,7.58,4.64
7916,2.11,Premium,I,SI2,58.4,62.0,8.43,8.39,4.91
7917,0.9,Ideal,G,VS1,62.1,56.0,6.15,6.19,3.83
7918,0.51,Premium,E,VS2,59.3,58.0,5.23,5.2,3.09
7919,0.35,Ideal,F,IF,60.9,56.0,4.54,4.56,2.77
7920,1.31,Premium,H,VS2,62.5,58.0,6.97,6.94,4.35
7921,1.5,Ideal,F,VS2,61.9,56.4,7.31,7.33,4.53
7922,0.67,Premium,G,VVS2,60.1,60.0,5.66,5.58,3.38
7923,0.3,Very Good,G,VS1,62.5,59.0,4.32,4.25,2.68
7924,0.3,Ideal,H,VS1,62.9,56.0,4.27,4.22,2.67
7925,0.32,Premium,E,VS1,61.3,58.0,4.36,4.39,2.68
7926,1.68,Premium,G,VS1,58.2,57.0,7.89,7.85,4.58
7927,0.3,Very Good,F,SI1,62.9,57.0,4.25,4.27,2.68
7928,0.53,Ideal,F,VS2,61.3,55.0,5.22,5.25,3.21
7929,0.35,Ideal,F,VS2,60.5,57.0,4.52,4.6,2.76
7930,0.71,Good,E,VS2,59.2,61.0,5.8,5.88,3.46
7931,1.38,Premium,H,VS1,61.0,60.0,7.21,7.16,4.38
7932,0.51,Ideal,G,IF,62.4,54.0,5.12,5.17,3.21
7933,0.33,Very Good,F,VS1,59.1,60.0,4.48,4.52,2.66
7934,0.3,Premium,F,VS2,60.7,58.0,4.32,4.35,2.63
7935,1.02,Premium,H,I1,62.5,60.0,6.39,6.41,4.0
7936,1.02,Premium,F,VS2,62.7,59.0,6.41,6.44,4.03
7937,0.32,Very Good,E,VS2,60.5,58.0,4.4,4.42,2.67
7938,1.04,Ideal,H,VS1,62.7,55.0,6.43,6.49,4.05
7939,0.42,Ideal,F,SI2,62.1,56.0,4.8,4.83,2.99
7940,0.33,Premium,E,VS1,61.6,58.0,4.45,4.41,2.73
7941,0.32,Ideal,G,VVS2,61.1,55.0,4.42,4.45,2.71
7942,1.01,Premium,D,SI1,60.0,60.0,6.51,6.45,3.89
7943,0.53,Ideal,G,VS1,61.9,56.0,5.2,5.17,3.21
7944,1.22,Premium,E,SI2,62.1,56.0,6.89,6.83,4.26
7945,0.32,Premium,I,SI1,62.7,58.0,4.34,4.37,2.73
7946,0.7,Ideal,H,SI1,61.4,57.0,5.64,5.76,3.5
7947,1.02,Premium,H,VS2,61.0,58.0,6.56,6.49,3.98
7948,1.53,Premium,H,VVS2,60.4,60.0,7.41,7.46,4.49
7949,1.23,Good,D,SI2,60.5,64.0,6.94,6.88,4.18
7950,0.3,Good,J,VS1,63.6,52.0,4.29,4.27,2.72
7951,0.92,Very Good,F,SI2,62.8,56.0,6.19,6.23,3.9
7952,1.01,Good,H,SI2,63.7,55.0,6.37,6.32,4.04
7953,1.29,Premium,I,SI1,61.8,59.0,6.99,6.96,4.31
7954,0.53,Ideal,I,SI1,61.5,56.0,5.21,5.23,3.21
7955,0.32,Good,F,VS2,63.3,57.0,4.34,4.38,2.76
7956,0.65,Ideal,H,VVS2,61.6,58.0,5.56,5.6,3.44
7957,1.03,Premium,E,SI1,59.5,60.0,6.64,6.56,3.93
7958,2.01,Very Good,H,SI2,63.4,60.0,7.97,7.89,5.03
7959,1.25,Ideal,E,VS2,62.6,56.0,6.89,6.84,4.3
7960,0.54,Ideal,H,SI1,62.1,56.0,5.18,5.26,3.24
7961,0.39,Ideal,J,VS2,61.4,57.0,4.72,4.66,2.88
7962,0.95,Premium,G,SI2,60.5,62.0,6.44,6.36,3.88
7963,0.66,Very Good,E,SI2,61.3,57.2,5.59,5.66,3.45
7964,0.74,Ideal,J,VS1,61.6,57.0,5.77,5.83,3.57
7965,1.01,Premium,G,VS2,62.1,60.0,6.37,6.35,3.95
7966,1.0,Premium,G,VS2,60.6,59.0,6.42,6.36,3.87
7967,0.5,Ideal,D,SI1,62.6,57.0,5.1,5.06,3.18
7968,1.06,Very Good,G,SI1,63.4,58.0,6.44,6.47,4.09
7969,0.71,Ideal,G,VS2,60.6,56.0,5.76,5.8,3.5
7970,1.21,Fair,J,SI2,64.6,59.0,6.74,6.64,4.32
7971,0.79,Premium,F,VS2,60.7,60.0,5.95,5.97,3.62
7972,0.5,Premium,F,SI1,59.6,61.0,5.15,5.12,3.06
7973,1.62,Premium,H,SI1,61.3,60.0,7.48,7.53,4.6
7974,1.1,Ideal,G,VS1,61.9,55.0,6.59,6.63,4.09
7975,1.66,Premium,I,SI2,60.0,59.0,7.63,7.56,4.56
7976,0.3,Premium,E,VS2,62.1,59.0,4.29,4.27,2.66
7977,0.41,Very Good,G,SI1,62.8,58.0,4.72,4.74,2.97
7978,0.71,Ideal,F,SI2,62.2,56.0,5.76,5.7,3.56
7979,0.43,Ideal,D,SI1,62.5,55.0,4.83,4.8,3.01
7980,1.52,Premium,G,VS2,61.9,56.0,7.39,7.28,4.54
7981,1.42,Ideal,H,SI2,62.2,56.0,7.21,7.16,4.47
7982,1.03,Premium,E,VS1,62.4,58.0,6.41,6.5,4.03
7983,0.38,Ideal,F,VVS1,60.9,57.0,4.73,4.69,2.87
7984,0.5,Very Good,G,VVS2,62.1,61.0,5.07,5.1,3.16
7985,1.13,Ideal,E,VS2,61.7,57.0,6.67,6.71,4.13
7986,0.55,Premium,F,SI2,60.6,58.0,5.31,5.28,3.21
7987,0.71,Very Good,H,SI1,62.5,60.0,5.68,5.75,3.57
7988,1.08,Ideal,G,VS2,62.4,55.0,6.62,6.55,4.11
7989,0.7,Very Good,H,VVS2,58.8,58.0,5.88,5.78,3.43
7990,0.76,Very Good,H,SI1,61.4,57.0,5.89,5.94,3.63
7991,2.0,Ideal,I,SI2,61.7,56.0,8.0,8.13,4.98
7992,2.11,Ideal,I,SI1,62.0,55.0,8.23,8.18,5.09
7993,0.39,Good,I,VS2,62.3,61.0,4.6,4.61,2.87
7994,0.74,Very Good,G,SI1,63.5,60.0,5.73,5.68,3.62
7995,0.5,Good,G,VVS2,64.1,56.0,5.02,5.06,3.23
7996,1.0,Ideal,D,VS1,62.4,55.0,6.4,6.43,4.0
7997,0.72,Premium,G,SI2,61.6,55.0,5.79,5.76,3.56
7998,0.97,Good,F,SI1,60.1,65.0,6.46,6.36,3.85
7999,1.13,Ideal,J,SI2,61.9,56.0,6.67,6.71,4.14
8000,1.12,Premium,G,SI2,61.2,58.0,6.69,6.67,4.09
8001,0.41,Ideal,E,VS2,62.2,56.0,4.75,4.8,2.97
8002,1.01,Good,E,VS2,56.7,61.0,6.71,6.66,3.79
8003,0.71,Ideal,E,SI1,60.5,56.0,5.77,5.73,3.47
8004,0.4,Ideal,E,VVS2,61.6,56.0,4.73,4.78,2.93
8005,0.33,Premium,I,VS1,59.5,60.0,4.5,4.54,2.69
8006,1.4,Premium,G,SI2,62.0,60.0,7.16,7.1,4.42
8007,1.24,Premium,I,SI1,58.9,59.0,7.08,7.02,4.15
8008,1.51,Premium,E,VS2,62.2,59.0,7.36,7.4,4.59
8009,0.7,Ideal,F,SI1,62.6,55.0,5.67,5.7,3.56
8010,0.57,Ideal,G,SI1,61.7,56.0,5.33,5.37,3.3
8011,0.53,Premium,G,VS1,60.1,58.0,5.32,5.27,3.18
8012,0.3,Good,F,IF,64.3,53.0,4.22,4.27,2.73
8013,0.71,Ideal,I,VS1,62.3,59.0,5.68,5.72,3.55
8014,1.14,Premium,F,VVS1,60.8,58.0,6.79,6.74,4.11
8015,0.38,Premium,G,SI1,59.5,62.0,4.71,4.67,2.79
8016,0.73,Ideal,D,SI1,60.2,56.0,5.86,5.94,3.55
8017,0.55,Ideal,E,VS2,61.8,57.0,5.27,5.34,3.28
8018,0.9,Ideal,I,VS1,62.4,56.0,6.14,6.19,3.85
8019,1.0,Very Good,H,SI2,61.7,55.0,6.4,6.46,3.97
8020,0.55,Good,F,SI1,57.0,62.0,5.42,5.44,3.1
8021,1.58,Ideal,I,VS2,61.4,55.0,7.49,7.55,4.62
8022,0.57,Ideal,E,VS1,61.4,57.0,5.37,5.32,3.28
8023,0.32,Ideal,G,VS2,61.4,56.0,4.39,4.37,2.69
8024,1.04,Ideal,F,VVS2,62.2,56.0,6.46,6.53,4.04
8025,0.7,Ideal,F,SI2,61.1,56.0,5.71,5.78,3.51
8026,0.4,Ideal,D,VS2,61.3,57.0,4.75,4.77,2.92
8027,0.94,Very Good,E,SI2,62.0,58.0,6.23,6.29,3.88
8028,0.65,Ideal,H,SI1,61.5,55.0,5.59,5.63,3.45
8029,1.13,Ideal,G,VS2,61.6,57.0,6.7,6.68,4.12
8030,1.14,Ideal,J,SI1,61.5,56.0,6.7,6.74,4.13
8031,1.22,Good,J,VS1,58.5,61.0,6.94,7.0,4.08
8032,2.01,Ideal,G,SI1,61.6,57.0,8.08,8.0,4.95
8033,0.34,Ideal,E,VVS1,61.8,55.0,4.49,4.5,2.78
8034,0.3,Very Good,F,SI1,62.1,60.0,4.26,4.28,2.65
8035,1.5,Very Good,H,SI1,63.4,57.0,7.27,7.23,4.59
8036,0.31,Very Good,I,VS2,59.3,59.0,4.38,4.42,2.61
8037,0.71,Premium,E,SI2,61.8,57.0,5.73,5.67,3.52
8038,1.2,Very Good,I,SI1,62.6,59.0,6.75,6.71,4.21
8039,0.76,Ideal,D,VS2,61.2,57.0,5.89,5.91,3.61
8040,0.4,Ideal,G,VVS2,62.4,56.0,4.68,4.64,2.91
8041,0.71,Ideal,E,SI1,61.7,56.0,5.74,5.77,3.55
8042,0.54,Premium,D,SI1,62.3,60.0,5.18,5.22,3.24
8043,0.33,Ideal,G,SI2,61.9,56.0,4.41,4.45,2.74
8044,0.4,Ideal,D,SI1,62.1,56.0,4.7,4.74,2.93
8045,0.3,Premium,E,VS2,62.6,58.0,4.3,4.26,2.68
8046,0.9,Very Good,G,SI1,61.6,59.0,6.13,6.19,3.8
8047,0.32,Ideal,D,VS2,61.1,56.0,4.39,4.41,2.69
8048,1.21,Ideal,G,VVS2,60.6,56.0,6.9,6.89,4.18
8049,1.14,Very Good,I,SI1,63.5,56.0,6.62,6.58,4.19
8050,0.53,Ideal,F,VS1,62.4,57.0,5.18,5.21,3.24
8051,0.41,Very Good,D,SI2,62.3,61.0,4.72,4.75,2.95
8052,1.07,Ideal,E,SI2,61.7,57.0,6.59,6.56,4.06
8053,1.0,Fair,D,SI2,65.2,56.0,6.27,6.21,4.07
8054,1.26,Premium,J,SI1,61.7,58.0,6.99,6.91,4.29
8055,0.7,Ideal,F,SI1,62.6,56.0,5.66,5.69,3.55
8056,1.3,Very Good,G,VS1,62.5,58.0,6.9,6.95,4.33
8057,1.01,Very Good,D,SI2,60.1,60.0,6.41,6.47,3.87
8058,1.01,Premium,H,SI1,61.9,57.0,6.49,6.4,3.99
8059,0.71,Very Good,I,VVS1,63.4,57.0,5.71,5.67,3.61
8060,0.7,Very Good,H,SI1,63.5,57.0,5.59,5.66,3.59
8061,3.01,Fair,I,SI2,65.8,56.0,8.99,8.94,5.9
8062,1.01,Premium,F,SI1,61.9,56.0,6.53,6.45,4.02
8063,0.44,Ideal,G,VVS1,62.3,56.0,4.85,4.87,3.03
8064,0.58,Ideal,D,VS2,61.2,57.0,5.37,5.41,3.3
8065,0.72,Premium,D,VVS2,60.0,57.0,5.92,5.84,3.53
8066,1.0,Good,G,SI1,64.3,58.0,6.25,6.22,4.01
8067,2.0,Very Good,H,SI1,63.2,58.0,7.95,7.93,5.02
8068,0.41,Ideal,F,VS2,61.9,56.0,4.74,4.76,2.94
8069,2.47,Premium,I,SI2,62.5,56.0,8.65,8.6,5.39
8070,1.01,Very Good,E,SI1,63.3,58.0,6.39,6.37,4.04
8071,0.37,Premium,E,VVS2,60.9,59.0,4.65,4.61,2.82
8072,0.51,Good,F,SI1,64.1,58.0,5.03,5.02,3.22
8073,0.7,Premium,G,SI2,61.3,58.0,5.75,5.67,3.5
8074,1.12,Very Good,G,VVS1,58.9,60.0,6.78,6.91,4.03
8075,1.0,Premium,E,SI1,61.9,60.0,6.46,6.37,3.97
8076,0.91,Premium,I,VS2,62.4,61.0,6.18,6.16,3.85
8077,1.31,Premium,I,VS1,62.8,57.0,6.98,6.9,4.36
8078,0.48,Good,F,SI1,59.3,64.0,5.13,5.1,3.03
8079,1.36,Ideal,H,VS2,59.9,57.0,7.2,7.22,4.32
8080,1.03,Very Good,E,VS2,61.3,61.0,6.46,6.53,3.98
8081,0.32,Ideal,F,IF,60.3,58.0,4.45,4.5,2.7
8082,0.31,Good,D,SI2,63.7,58.0,4.27,4.3,2.73
8083,0.38,Ideal,E,VVS1,61.3,55.0,4.67,4.72,2.88
8084,0.38,Very Good,G,VVS1,61.3,57.0,4.62,4.68,2.85
8085,0.36,Ideal,D,SI1,62.7,57.0,4.54,4.59,2.86
8086,2.01,Premium,I,VS1,62.9,59.0,8.03,7.94,5.02
8087,0.41,Ideal,H,VVS1,61.5,55.0,4.79,4.81,2.95
8088,0.33,Ideal,H,SI2,61.2,54.0,4.45,4.5,2.74
8089,0.39,Ideal,F,VVS2,62.0,54.0,4.7,4.72,2.92
8090,0.33,Ideal,I,VVS1,62.2,54.0,4.43,4.45,2.76
8091,0.52,Premium,I,VVS1,60.1,58.0,5.26,5.23,3.15
8092,0.7,Very Good,G,SI1,61.7,56.0,5.66,5.75,3.52
8093,0.73,Ideal,H,SI2,62.3,56.0,5.78,5.72,3.58
8094,1.52,Fair,F,SI2,56.3,64.0,7.68,7.62,4.31
8095,0.46,Fair,I,VS1,65.6,57.0,4.85,4.82,3.17
8096,0.71,Premium,G,VS2,60.4,61.0,5.81,5.77,3.5
8097,1.49,Ideal,F,I1,62.6,54.0,7.31,7.28,4.57
8098,0.41,Ideal,H,SI1,61.3,55.0,4.81,4.85,2.96
8099,1.51,Good,J,SI1,63.5,58.0,7.24,7.29,4.61
8100,1.75,Ideal,J,VVS2,62.0,55.0,7.7,7.73,4.78
8101,0.27,Ideal,H,SI1,61.6,57.0,4.13,4.15,2.55
8102,0.4,Ideal,E,VS2,62.6,57.0,4.7,4.68,2.93
8103,0.78,Ideal,F,SI2,59.7,57.0,6.01,5.98,3.58
8104,0.4,Very Good,D,VS1,60.8,59.0,4.74,4.76,2.89
8105,0.4,Ideal,E,VVS2,61.8,56.0,4.74,4.77,2.94
8106,0.57,Ideal,E,VS2,61.8,55.0,5.38,5.34,3.31
8107,1.37,Ideal,G,VS1,62.2,55.0,7.09,7.12,4.42
8108,0.9,Good,E,SI1,63.5,55.0,6.12,6.22,3.92
8109,0.3,Ideal,D,SI1,61.0,57.0,4.29,4.33,2.63
8110,0.3,Very Good,D,VS2,62.8,57.0,4.25,4.29,2.68
8111,1.2,Ideal,J,SI1,62.1,55.0,6.81,6.84,4.24
8112,0.3,Good,E,VVS2,63.2,59.0,4.27,4.28,2.7
8113,1.46,Very Good,J,VS2,59.7,59.0,7.36,7.39,4.4
8114,1.01,Ideal,G,VVS2,62.2,54.0,6.48,6.41,4.01
8115,2.21,Ideal,G,SI2,61.9,55.0,8.4,8.36,5.19
8116,2.07,Ideal,G,SI2,62.0,55.0,8.23,8.13,5.07
8117,0.31,Ideal,D,VS2,62.5,56.0,4.31,4.36,2.71
8118,2.01,Very Good,F,SI2,62.3,63.0,8.07,7.96,4.99
8119,1.72,Ideal,J,SI1,62.0,57.0,7.66,7.62,4.74
8120,0.9,Good,F,SI1,63.9,58.0,6.08,6.03,3.87
8121,1.0,Very Good,F,SI1,61.4,62.0,6.32,6.36,3.89
8122,0.71,Premium,F,SI1,62.7,58.0,5.74,5.68,3.58
8123,1.51,Premium,G,SI1,60.4,58.0,7.46,7.38,4.48
8124,0.71,Premium,F,SI2,62.3,60.0,5.7,5.67,3.54
8125,0.59,Ideal,D,SI1,62.5,55.0,5.35,5.4,3.36
8126,0.31,Ideal,G,IF,61.0,56.0,4.38,4.37,2.67
8127,0.71,Ideal,G,SI1,61.4,57.0,5.76,5.8,3.55
8128,0.33,Very Good,E,VS2,60.6,58.0,4.45,4.49,2.71
8129,1.02,Very Good,F,SI1,60.2,60.0,6.55,6.61,3.96
8130,0.75,Good,E,SI2,62.3,58.0,5.78,5.81,3.61
8131,0.9,Ideal,F,VS1,61.6,56.0,6.2,6.23,3.83
8132,1.22,Ideal,J,VS1,60.8,57.0,6.85,6.89,4.18
8133,0.32,Ideal,D,VS2,61.5,56.0,4.41,4.44,2.72
8134,0.32,Ideal,E,VS2,62.3,54.0,4.4,4.37,2.73
8135,1.01,Very Good,F,VS2,63.1,56.0,6.41,6.37,4.03
8136,1.21,Very Good,I,VS2,63.4,57.0,6.79,6.72,4.28
8137,0.27,Ideal,I,VS1,62.0,56.0,4.16,4.19,2.59
8138,1.51,Very Good,H,VS2,60.9,57.0,7.39,7.43,4.51
8139,1.01,Very Good,E,VS2,58.1,60.0,6.51,6.58,3.8
8140,0.31,Good,I,VS1,63.2,56.0,4.28,4.33,2.72
8141,0.9,Very Good,E,VS1,61.1,59.0,6.14,6.2,3.77
8142,0.41,Good,D,VVS2,63.3,59.0,4.71,4.73,2.99
8143,1.04,Premium,G,SI1,62.7,59.0,6.47,6.41,4.04
8144,0.31,Ideal,F,VVS1,62.4,54.0,4.33,4.35,2.71
8145,0.35,Ideal,I,VS1,61.7,54.0,4.54,4.57,2.81
8146,1.01,Premium,G,VVS2,63.0,59.0,6.38,6.25,3.98
8147,0.52,Very Good,F,SI1,61.0,59.0,5.18,5.21,3.17
8148,0.43,Good,F,SI1,63.8,57.0,4.82,4.8,3.07
8149,1.01,Fair,D,VS2,59.1,68.0,6.56,6.44,3.84
8150,0.36,Ideal,D,VS2,60.6,57.0,4.57,4.61,2.78
8151,1.5,Ideal,H,VS2,62.2,57.0,7.33,7.27,4.54
8152,0.34,Ideal,F,VS2,62.1,55.0,4.51,4.47,2.79
8153,0.3,Ideal,F,VS2,60.7,56.0,4.32,4.34,2.63
8154,0.52,Fair,F,IF,64.6,58.0,5.04,5.17,3.3
8155,1.07,Premium,F,SI2,61.7,58.0,6.55,6.58,4.05
8156,1.11,Premium,F,SI2,62.1,58.0,6.63,6.51,4.1
